Hobby,Age,EducationalLevel,MaritalStatus,Class
two,one,one,two,one
two,one,three,two,two
three,one,four,one,three
two,four,two,two,three
one,one,three,four,three
one,one,three,two,two
three,one,three,two,two
three,four,two,four,three
two,two,one,one,one
one,two,one,one,one
two,two,three,four,three
one,one,two,one,one
two,one,two,two,two
two,four,one,four,three
one,one,three,three,one
three,two,one,two,two
one,two,one,one,one
three,one,three,two,one
one,two,two,one,two
three,two,one,three,one
two,one,two,one,one
three,two,one,three,one
two,three,two,one,one
three,two,two,one,two
three,two,one,three,two
two,one,two,two,two
one,one,three,two,one
one,four,one,one,three
two,two,one,three,one
one,two,one,three,two
one,one,one,two,one
two,four,three,one,three
three,one,two,two,two
three,two,two,one,two
one,two,one,two,two
two,two,two,one,two
two,two,one,two,two
three,two,one,three,two
three,two,one,one,one
three,one,two,one,one
one,two,one,three,two
two,one,one,two,one
one,one,one,two,one
one,two,two,three,two
three,three,three,one,one
three,two,one,two,two
three,two,one,two,two
three,one,two,one,one
one,one,one,two,one
two,one,three,two,one
two,two,two,one,two
two,one,two,one,one
two,two,one,three,one
two,one,two,two,two
one,two,four,two,three
two,two,one,two,two
one,one,two,four,three
one,three,two,one,one
two,four,four,two,three
two,three,two,one,one
three,one,two,two,two
one,one,two,two,two
one,three,two,four,three
one,one,two,two,two
three,one,four,two,three
two,one,three,two,two
one,one,three,two,two
three,one,three,two,one
one,two,four,four,three
one,four,two,one,three
two,one,two,one,one
three,four,one,two,three
two,two,four,three,three
three,one,two,two,two
one,one,three,two,one
one,two,one,three,one
three,three,three,two,two
two,two,one,three,two
three,three,two,one,two
one,one,one,three,one
two,two,two,one,two
two,three,two,three,two
one,three,two,one,two
two,two,one,two,two
one,one,one,two,one
three,two,two,one,two
three,two,one,one,one
one,one,two,one,one
three,one,four,four,three
three,three,two,one,two
two,three,two,one,two
two,one,three,one,one
one,two,one,two,two
three,one,one,two,one
one,two,two,one,two
two,three,two,one,two
two,two,one,four,three
one,four,two,three,three
two,two,one,one,one
one,two,one,one,one
two,two,three,two,two
one,three,two,one,one
three,one,two,one,one
three,one,one,two,one
three,three,one,four,three
two,three,four,one,three
one,two,three,three,two
three,three,four,two,three
one,two,two,one,two
three,one,two,two,two
three,two,two,four,three
two,three,one,three,one
two,one,one,two,one
three,four,one,three,three
one,one,four,three,three
two,one,two,one,one
one,two,one,two,two
one,two,two,one,two
three,one,one,two,one
three,two,one,one,one
three,three,two,one,one
three,two,one,one,one
one,one,two,two,two
three,four,three,two,three
three,three,one,one,one
two,two,one,one,one
one,one,two,one,one
one,four,four,one,three
two,two,one,two,two
two,two,four,one,three
three,three,two,two,two
two,one,one,four,three
one,one,one,two,one
one,one,two,one,one
one,two,one,one,one
one,one,one,three,one
one,one,three,one,one
one,three,one,one,one
one,one,three,three,one
one,three,one,three,one
one,three,three,one,one
one,two,two,one,two
one,two,one,two,two
one,one,two,two,two
one,two,two,three,two
one,two,three,two,two
one,three,two,two,two
one,two,three,three,two
one,three,two,three,two
one,three,three,two,two
one,one,three,two,one
one,three,two,one,two
one,two,one,three,one
one,two,three,one,two
one,one,two,three,one
one,three,one,two,two
one,one,one,one,one
one,two,two,two,two
one,three,three,three,one
one,four,four,four,three

